Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paolo Banchero,PF,20,ORL,72,72,33.8,6.7,15.6,.427,1.2,4.0,.298,5.5,11.6,.471,.465,5.5,7.4,.738,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,20.0
Desmond Bane,SG,24,MEM,58,58,31.7,7.8,16.2,.479,2.9,7.0,.408,4.9,9.2,.534,.568,3.1,3.5,.883,0.7,4.3,5.0,4.4,1.0,0.4,2.2,2.6,21.5
Dalano Banton,PG,23,TOR,30,2,8.6,1.7,3.9,.424,0.5,1.6,.313,1.2,2.3,.500,.487,0.5,0.7,.727,0.3,1.0,1.3,1.0,0.4,0.4,0.5,1.0,4.4
Dominick Barlow,SF,19,SAS,26,0,13.3,1.4,2.7,.522,0.0,0.2,.000,1.4,2.5,.554,.522,0.5,0.7,.722,1.5,1.5,3.0,0.8,0.3,0.7,0.5,1.9,3.3
Harrison Barnes,PF,30,SAC,81,81,32.6,4.6,9.7,.471,1.6,4.3,.367,3.0,5.4,.553,.552,4.3,5.1,.847,1.1,3.4,4.5,1.6,0.7,0.1,1.0,1.3,15.0
Scottie Barnes,PF,21,TOR,76,75,34.9,6.0,13.3,.456,0.8,2.9,.284,5.2,10.3,.504,.487,2.5,3.2,.772,2.4,4.4,6.7,4.8,1.1,0.8,2.0,2.2,15.4
RJ Barrett,SG,22,NYK,72,72,33.9,7.0,16.1,.434,1.7,5.4,.310,5.3,10.7,.495,.485,4.0,5.4,.742,0.8,4.3,5.1,2.8,0.4,0.2,2.2,2.4,19.6
Will Barton,SG,32,TOT,55,2,17.8,2.4,6.5,.375,1.2,3.2,.362,1.3,3.2,.388,.465,0.7,0.9,.787,0.3,2.2,2.5,2.0,0.5,0.2,0.9,1.0,6.7
Will Barton,SG,32,WAS,40,0,19.6,2.8,7.1,.386,1.3,3.5,.377,1.5,3.7,.395,.477,0.9,1.1,.778,0.3,2.5,2.8,2.4,0.4,0.3,1.1,1.0,7.7
Will Barton,SG,32,TOR,15,2,13.1,1.5,4.7,.329,0.8,2.6,.308,0.7,2.1,.355,.414,0.1,0.1,1.000,0.3,1.3,1.6,1.1,0.7,0.2,0.2,1.1,4.0
Charles Bassey,C,22,SAS,35,2,14.5,2.5,3.9,.644,0.1,0.2,.375,2.4,3.6,.661,.656,0.6,1.1,.595,2.1,3.4,5.5,1.3,0.5,0.9,1.2,2.1,5.7
Keita Bates-Diop,SF,27,SAS,65,40,21.6,3.4,6.7,.507,0.8,2.1,.393,2.6,4.6,.558,.568,1.7,2.2,.801,1.0,2.7,3.7,1.5,0.7,0.3,0.8,1.0,9.4
Nicolas Batum,PF,34,LAC,76,17,21.9,2.1,4.9,.420,1.6,4.1,.390,0.5,0.8,.563,.582,0.4,0.6,.708,0.8,3.0,3.8,1.5,0.7,0.6,0.7,1.9,6.2
Darius Bazley,PF,22,TOT,42,1,14.0,1.8,4.0,.447,0.5,1.2,.380,1.4,2.9,.475,.503,0.9,1.6,.552,0.7,2.4,3.1,0.9,0.5,0.8,0.6,1.0,5.0
Darius Bazley,PF,22,OKC,36,1,15.4,2.0,4.4,.449,0.5,1.3,.400,1.5,3.1,.469,.506,1.0,1.8,.554,0.8,2.6,3.4,0.9,0.5,0.8,0.6,1.0,5.4
Darius Bazley,PF,22,PHO,6,0,5.7,0.8,2.0,.417,0.2,0.8,.200,0.7,1.2,.571,.458,0.2,0.3,.500,0.2,1.0,1.2,0.7,0.5,0.5,0.7,1.2,2.0
Bradley Beal,SG,29,WAS,50,50,33.5,8.9,17.6,.506,1.6,4.4,.365,7.3,13.2,.552,.551,3.8,4.6,.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,23.2
Malik Beasley,SG,26,TOT,80,27,25.8,4.6,11.6,.395,2.9,8.1,.357,1.7,3.5,.482,.520,0.6,0.8,.787,0.4,3.1,3.5,1.5,0.8,0.1,1.1,1.3,12.7
Malik Beasley,SG,26,UTA,55,13,26.8,4.8,12.2,.396,3.1,8.6,.359,1.7,3.6,.485,.522,0.7,0.8,.841,0.5,3.1,3.6,1.7,0.8,0.1,1.1,1.4,13.4
Malik Beasley,SG,26,LAL,25,14,23.8,4.0,10.3,.391,2.5,7.1,.354,1.5,3.2,.475,.514,0.4,0.7,.647,0.2,3.0,3.2,1.1,0.8,0.0,1.2,1.2,11.0
MarJon Beauchamp,SF,22,MIL,51,10,13.2,1.8,4.6,.395,0.9,2.7,.328,0.9,1.9,.490,.491,0.5,0.7,.730,0.7,1.4,2.1,0.6,0.4,0.1,0.8,1.4,5.0
Dāvis Bertāns,PF,30,DAL,44,0,10.5,1.4,3.3,.422,1.1,3.0,.385,0.3,0.4,.706,.592,0.3,0.3,.867,0.2,0.9,1.0,0.5,0.3,0.1,0.2,1.2,4.3
Patrick Beverley,PG,34,TOT,66,66,27.2,2.2,5.4,.401,1.2,3.6,.338,1.0,1.8,.525,.513,0.7,1.0,.723,0.7,3.0,3.7,2.9,0.9,0.6,0.9,2.8,6.3
Patrick Beverley,PG,34,LAL,45,45,26.9,2.2,5.4,.402,1.2,3.5,.348,0.9,1.8,.506,.517,0.9,1.1,.780,0.5,2.6,3.1,2.6,0.9,0.6,0.9,2.8,6.4
Patrick Beverley,PG,34,CHI,21,21,27.7,2.2,5.5,.397,1.2,3.8,.316,1.0,1.8,.568,.504,0.4,0.7,.533,1.0,4.0,5.0,3.4,1.0,0.7,0.9,2.8,6.0
Saddiq Bey,SF,23,TOT,76,36,27.8,4.6,10.9,.421,2.0,5.5,.361,2.6,5.4,.482,.512,2.7,3.1,.861,1.3,3.4,4.7,1.5,0.9,0.2,0.9,1.6,13.9
